UT,Origin,Target,PhaseAngle
90214,8,4,-143.82
150474,16,4,151.41
322682,15,5,23.62
435791,4,8,103.97
509940,1,4,125.98
631560,16,6,-162.43
744033,4,16,127.31
1084900,4,15,117.02
1106640,5,6,72.04
1412681,4,1,80.53
1461014,6,4,-172.97
1653393,6,8,77.96
1760538,5,4,-94.65
2115866,5,8,97.65
2253043,8,5,-89.32
2253722,15,4,66.10
2253823,4,6,89.17
2309354,8,4,-151.85
2457518,16,4,158.66
2615141,4,5,50.04
2647418,6,1,-82.38
2713065,4,8,104.23
2750942,5,16,123.71
2761748,16,5,-123.03
2975503,4,16,127.51
2994114,16,1,161.90
3125401,15,6,166.55
3236025,1,4,116.80
3297544,6,16,115.70
3353484,4,15,117.13
3944451,6,4,173.36
4156416,1,8,91.62
4297240,5,15,105.28
4515766,8,4,-161.21
4696524,4,1,69.03
4837987,16,4,175.46
4843241,15,4,94.42
4930933,4,6,87.51
4985975,4,8,104.59
5003266,1,16,121.10
5087930,1,6,36.55
5206960,4,16,127.67
5367537,8,6,-17.24
5597063,5,4,-92.12
5626536,4,15,116.53
5696512,1,4,80.12
5720880,4,5,70.56
6711101,8,4,-171.65
6794499,6,4,-170.92
6805216,8,1,2.13
7254754,4,8,105.04
7298892,16,4,-152.52
7341135,15,5,67.88
7438436,4,16,127.77
7472580,4,6,88.49
7532894,4,1,82.24
7618707,15,4,173.50
7620303,16,15,94.42
7646633,6,5,-151.57
7906964,4,15,115.11
8051744,8,5,-102.06
8112802,5,8,98.34
8388064,1,15,91.51
8532727,5,16,123.81
8622609,5,4,-145.70
8896638,8,4,176.35
9031802,16,5,-92.27
9205265,1,4,123.83
9519711,4,8,105.54
9669962,4,16,127.84
9725369,4,5,67.75
9838806,5,6,60.49
9846863,6,4,-108.10
9848165,16,4,-89.09
9924634,4,6,91.13
10186281,4,1,82.43
10199209,4,15,112.67
10572045,15,4,-50.06
10709076,5,15,97.81
11073330,8,4,164.26
11390776,6,15,62.21
11674241,15,1,15.17
11781194,4,8,106.10
11823633,1,5,-55.81
11901572,4,16,127.85
12057849,1,4,121.90
12346562,4,6,94.39
12371724,6,4,-89.19
12494783,16,4,7.76
12510508,4,15,108.98
12653827,5,1,36.03
12775720,5,4,-84.30
13241911,8,4,151.14
13401166,4,1,67.54
13495860,4,5,45.62
13635550,15,4,28.51
13690868,8,5,-124.09
13741722,16,1,-151.40
14039568,4,8,106.70
14091741,5,8,99.56
14133301,4,16,127.81
14262968,1,8,93.82
14322798,5,16,123.56
14499791,1,4,81.60
14568052,1,16,120.69
14638830,6,4,-123.61
14797907,4,6,95.69
14852841,4,15,103.82
15248890,16,4,83.74
15403058,8,4,137.26
15409052,6,5,176.44
15934298,16,5,-23.13
16127122,15,5,-153.45
16259115,8,1,-22.98
16295189,4,8,107.32
16326157,4,1,80.77
16365185,4,16,127.73
16373356,5,4,-129.87
16664412,15,4,155.58
16703292,4,5,72.36
