UT,Origin,Target,PhaseAngle
0,16,6,171.81
0,6,4,50.61
0,6,5,120.51
0,8,6,102.92
0,8,4,153.46
393477,16,4,179.97
435791,4,8,103.97
740151,8,5,178.69
744033,4,16,127.31
799274,15,4,169.24
898005,1,4,175.97
1084900,4,15,117.02
1106640,5,6,72.04
1412681,4,1,80.53
1653393,6,8,77.96
1654513,8,1,179.71
1760538,5,4,94.65
1863846,16,5,175.77
2115866,5,8,97.65
2253823,4,6,89.17
2263678,8,4,156.75
2540899,6,4,62.01
2615141,4,5,50.04
2633501,16,4,179.84
2647418,6,1,82.38
2713065,4,8,104.23
2750942,5,16,123.71
2975503,4,16,127.51
3025732,15,5,175.66
3079025,15,4,170.49
3297544,6,16,115.70
3353484,4,15,117.13
3446637,16,1,173.88
3824372,1,4,139.75
4005319,15,6,175.33
4156416,1,8,91.62
4297240,5,15,105.28
4527356,8,4,159.96
4696524,4,1,69.03
4873111,16,4,179.70
4930933,4,6,87.51
4985975,4,8,104.59
5003266,1,16,121.10
5081798,6,4,67.91
5081798,4,6,67.91
5087930,1,6,36.55
5206960,4,16,127.67
5355907,15,4,172.29
5597063,5,4,92.12
5626536,4,15,116.53
5702603,15,1,175.80
5720880,4,5,70.56
6617620,1,4,176.85
6728290,8,5,177.77
6791034,8,4,163.05
7112346,16,4,179.57
7254754,4,8,105.04
7438436,4,16,127.77
7532894,4,1,82.24
7622696,4,6,59.00
7631766,15,4,174.60
7648652,16,5,175.56
7906964,4,15,115.11
8112802,5,8,98.34
8388064,1,15,91.51
8404139,6,5,120.02
8532727,5,16,123.81
8622609,5,4,145.70
9054711,8,4,165.94
9289790,15,5,178.05
9351244,16,4,179.44
9419781,6,4,173.07
9519711,4,8,105.54
9669962,4,16,127.84
9683329,1,4,174.52
9725369,4,5,67.75
9838807,5,6,60.49
9908468,15,4,177.38
10163595,4,6,39.39
10186281,4,1,82.43
10199209,4,15,112.67
10709075,5,15,97.81
11318389,8,4,168.58
11390775,6,15,62.21
11589842,16,4,179.31
11781194,4,8,106.10
11823633,1,5,55.81
11832907,8,1,178.99
11901572,4,16,127.85
11950885,6,4,175.49
12188714,15,4,179.42
12510508,4,15,108.98
12560741,1,4,142.74
12653827,5,1,36.03
12704494,6,4,33.82
12704494,4,6,33.82
12735400,8,5,177.75
12775720,5,4,84.30
12998098,16,1,173.91
13401166,4,1,67.54
13435586,16,5,175.44
13495860,4,5,45.62
13582067,8,4,170.87
13828180,16,4,179.18
14039568,4,8,106.70
14091741,5,8,99.56
14133301,4,16,127.81
14262968,1,8,93.82
14322798,5,16,123.56
14553999,15,4,160.50
14568052,1,16,120.69
14852841,4,15,103.82
15245393,6,4,41.11
15401907,1,4,169.46
15682556,15,5,176.32
15845745,8,4,172.71
16066294,16,4,179.05
16295189,4,8,107.32
16326157,4,1,80.77
16365185,4,16,127.73
16373356,5,4,129.87
16703292,4,5,72.36
16808278,6,5,121.30
16925859,15,4,145.96
16938641,15,1,178.08
17243462,4,15,97.27
17363781,4,6,92.97
17460432,5,15,81.80
17786291,6,4,52.86
17920285,5,6,72.69
18109423,8,4,173.97
18304221,16,4,178.92
18459069,1,4,173.50
18548400,4,8,107.95
18597264,4,16,127.59
18733747,8,5,178.03
18971994,4,1,83.68
19226591,16,5,175.41
19296102,15,4,139.38
19461952,16,6,160.92
19643395,5,4,133.39
19691531,4,15,90.54
20054630,5,8,101.07
20074059,4,6,88.56
20123778,5,16,122.93
20327190,6,4,63.74
20373101,8,4,174.57
20542000,16,4,178.80
20718010,4,5,64.47
20747990,8,6,113.38
20799521,4,8,108.59
20829580,4,16,127.39
20950722,1,15,60.35
21014642,16,15,169.88
21277500,1,4,152.76
21657512,15,4,140.34
21962512,8,1,178.70
22065411,6,16,113.45
22078479,4,1,67.38
22163684,4,15,86.42
22293475,15,5,174.41
22332645,6,8,86.29
22568786,16,1,174.32
22636779,8,4,174.62
22727028,4,6,87.55
22779673,16,4,178.67
22868089,6,4,67.68
22868089,4,6,67.68
22895341,6,1,70.55
23048848,4,8,109.21
23062181,4,16,127.14
23775863,5,4,76.02
24006608,15,4,146.69
24185480,1,4,161.93
24187341,1,16,119.08
24257075,4,5,45.20
24294025,1,8,96.84
24295868,5,15,74.02
24603445,4,15,86.41
24721513,8,5,178.53
24903917,8,4,174.42
25017270,16,4,178.55
25023865,16,5,175.50
25071272,1,6,34.07
25113874,4,1,79.00
25212417,6,5,119.10
25295118,4,16,126.83
25296652,4,8,109.82
25408988,4,6,55.38
25939038,5,16,121.86
26005084,5,8,102.65
26343423,15,4,156.04
26626706,1,5,51.27
26648013,5,6,59.42
26981197,5,4,162.10
26991783,4,15,89.43
27171272,8,4,174.27
27217048,6,4,173.05
27221531,1,4,173.02
27254840,16,4,178.43
27263398,5,1,35.73
27528448,4,16,126.45
27543183,4,8,110.40
27698705,4,5,72.78
27765203,4,1,84.40
27949886,4,6,36.98
28669294,15,4,166.42
28984167,15,5,177.72
29186080,15,1,176.88
29337996,4,15,93.79
29435224,8,4,174.23
29492434,16,4,178.31
29721261,6,4,176.45
29762236,4,16,126.00
29788669,4,8,110.95
29977291,1,4,171.06
30490785,6,4,34.49
30490785,4,6,34.49
30674146,5,4,120.77
30698523,8,5,179.09
30726668,5,15,85.91
30738328,4,1,69.20
30830023,16,5,175.71
30985293,15,4,176.58
31655160,4,15,98.37
31696070,8,4,174.28
31700112,4,5,60.47
31730073,16,4,178.20
31773052,5,16,120.25
31947426,5,8,104.09
31996555,4,16,125.47
32033322,4,8,111.46
32034050,8,1,178.88
32176276,16,1,175.18
32432415,1,15,81.20
32967078,1,4,154.77
33031684,6,4,43.14
33292259,15,4,173.97
33616556,6,5,122.07
33891997,1,16,115.83
33894019,4,1,76.95
33953044,4,15,102.62
33955169,8,4,174.43
33967807,16,4,178.09
34231488,4,16,124.86
34277342,4,8,111.92
